City, Region, Country, AirQuality, WaterPollution,Lat,Lon
Lianyungang, Jiangsu, People's Republic of China,0.0,50.0,34.5933134,119.2171662
Suqian, Jiangsu, People's Republic of China,0.0,50.0,33.9644701,118.2696994
Huai'an, Jiangsu, People's Republic of China,15.0,25.0,33.5524785,119.1075773
Yancheng, Jiangsu, People's Republic of China,0.0,50.0,33.349559,120.1577019
Yangzhou, Jiangsu, People's Republic of China,0.0,50.0,32.3968554,119.4077658
Taizhou, Jiangsu, People's Republic of China,0.0,50.0,28.6581723,121.4163876
Annaberg-Buchholz, Saxony, Germany,87.5,50.0,50.5788781,13.0106108
Nantong, Jiangsu, People's Republic of China,7.142857143,58.33333333,31.9827896,120.8904588
Zhenjiang, Jiangsu, People's Republic of China,12.5,62.5,32.1891959,119.4200069
Changzhou, Jiangsu, People's Republic of China,4.166666667,62.5,31.8122623,119.9691539
Jiaxing, Zhejiang, People's Republic of China,0.0,50.0,30.7474425,120.7510971
Jinhua, Zhejiang, People's Republic of China,0.0,50.0,29.1080344,119.6486487
Quzhou, Zhejiang, People's Republic of China,0.0,50.0,36.7698986,114.9585243
Lishui, Zhejiang, People's Republic of China,0.0,50.0,31.6506882,119.0262399
Zhoushan, Zhejiang, People's Republic of China,12.5,50.0,29.9873344,122.2030363
Banff, Alberta, Canada,100.0,0.0,51.175076,-115.5720773
Shijiazhuang, Hebei, People's Republic of China,0.0,100.0,38.0429742,114.5088385
Tangshan, Hebei, People's Republic of China,0.0,50.0,39.6295951,118.1738712
Qinhuangdao, Hebei, People's Republic of China,0.0,50.0,39.9395724,119.5894129
Xingtai, Hebei, People's Republic of China,0.0,50.0,37.0616519,114.499746
Baoding, Hebei, People's Republic of China,35.71428571,33.33333333,38.8579735,115.490696
Zhangjiakou, Hebei, People's Republic of China,0.0,50.0,40.8171433,114.8782861
Chengde, Hebei, People's Republic of China,0.0,50.0,40.9507147,117.9567031
Cangzhou, Hebei, People's Republic of China,0.0,25.0,38.3042796,116.8511597
Langfang, Hebei, People's Republic of China,0.0,50.0,39.5302055,116.6926134
Hengshui, Hebei, People's Republic of China,0.0,50.0,37.7364305,115.6677229
Doncaster, England, United Kingdom,15.0,45.83333333,53.5227681,-1.1335312
Kakinada, Andhra Pradesh, India,62.5,37.5,16.99716705,82.24579989610243
Zhuhai, Guangdong, People's Republic of China,41.66666667,65.0,22.273734,113.5721327
Shantou, Guangdong, People's Republic of China,25.0,50.0,23.3563921,116.6775856
Narvik, Nordland, Norway,90.0,100.0,68.28988385,17.086538711321808
Shaoguan, Guangdong, People's Republic of China,25.0,50.0,24.8136095,113.5922116
Jiangmen, Guangdong, People's Republic of China,12.5,50.0,22.5816619,113.0761073
Zhanjiang, Guangdong, People's Republic of China,35.0,50.0,21.2737079,110.3548318
Zhaoqing, Guangdong, People's Republic of China,12.5,50.0,23.0501661,112.4603629
Mo i Rana, Nordland, Norway,80.0,0.0,66.3110969,14.1386991
Huizhou, Guangdong, People's Republic of China,25.0,50.0,23.1146515,114.4107202
Meizhou, Guangdong, People's Republic of China,25.0,50.0,24.2918414,116.1171428
Shanwei, Guangdong, People's Republic of China,30.0,50.0,22.7891796,115.3704551
Heyuan, Guangdong, People's Republic of China,40.0,0.0,24.1014769,115.0577538
Yangjiang, Guangdong, People's Republic of China,20.0,100.0,22.0958223,111.7831393
Dongguan, Guangdong, People's Republic of China,35.0,50.0,23.0205969,113.7457788
Zhongshan, Guangdong, People's Republic of China,29.16666667,87.5,24.5290384,111.2975324
Chaozhou, Guangdong, People's Republic of China,25.0,50.0,23.656593,116.6204223
Yunfu, Guangdong, People's Republic of China,25.0,50.0,22.8546663,111.8078586
Uzice, Zlatibor District, Serbia,25.0,75.0,43.8564957,19.840273
Columbia, Missouri, United States of America,96.42857143,25.0,4.099917,-72.9088133
Swakopmund, Erongo Region, Namibia,50.0,50.0,-22.6767841,14.5313988
Bejaia, Bejaia Province, Algeria,58.33333333,50.0,36.7511783,5.0643687
Zalaegerszeg, Zala County, Hungary,0.0,100.0,46.8415803,16.8456316
Napa, California, United States of America,92.85714286,37.5,38.2971367,-122.2855293
Ashkelon, Southern District, Israel,5.0,100.0,31.6644874,34.5730157
Malacca, Melaka, Malaysia,75.0,25.0,2.3293744,102.2880962
George Town, , Malaysia,50.0,58.33333333,5.4141619,100.3287352
Campeche, Campeche, Mexico,80.0,68.75,19.330194,-89.94351380117641
Chihuahua City, Chihuahua, Mexico,81.25,47.91666667,28.6368669,-106.0767458
Colima, Colima, Mexico,75.0,37.5,19.166667,-104.0
Latur, Maharashtra, India,83.33333333,58.33333333,18.35159075,76.75542361334745
Brandon, Manitoba, Canada,85.0,40.0,46.35270835,4.577608667704116
Nellore, Andhra Pradesh, India,31.48148148,66.66666667,14.4493717,79.9873763
Navi Mumbai, Maharashtra, India,40.2173913,55.27522936,19.0308262,73.0198537
Jonesboro, Arkansas, United States of America,50.0,50.0,35.8272257,-90.6949871
Semey, East Kazakhstan Region, Kazakhstan,25.0,75.0,50.404377,80.2496637
Taicang, Jiangsu, People's Republic of China,0.0,100.0,31.4590371,121.1264772
Vanadzor, Lori Region, Armenia,25.0,50.0,40.81366055,44.48208512596935
General Trias, , Philippines,25.0,25.0,14.3861637,120.8802798
Magallanes, , Philippines,50.0,50.0,-53.3527518,-71.5547782
Barranquilla, Atlantico Department, Colombia,52.77777778,50.0,11.0101922,-74.8231794084391
Koszalin, West Pomeranian Voivodeship, Poland,55.0,50.0,54.20717985,16.21754108699583
Abadan, Khuzestan Province, Iran,0.0,50.0,38.0547912,58.1496045
Bacoor, , Philippines,33.33333333,71.42857143,14.458816,120.959579
Dasmarinas, , Philippines,28.57142857,79.6875,14.3270819,120.9370871
Imus, , Philippines,25.0,60.0,14.4290116,120.9365911
Tagaytay, , Philippines,86.11111111,37.5,14.1031439,120.9320545
Vernier, Canton of Geneva, Switzerland,12.5,75.0,46.2131843,6.0815756
Baden, Canton Aargau, Switzerland,75.0,20.0,48.1928371,8.1390286
Nyon, Canton of Vaud, Switzerland,100.0,0.0,46.3820585,6.2402791
Lancy, Canton of Geneva, Switzerland,75.0,0.0,46.1839156,6.1224047
Dubendorf, Canton of Zurich, Switzerland,100.0,50.0,47.3969942,8.6185666
Baar, Canton of Zug, Switzerland,75.0,50.0,50.35440955,7.0524441530485245
High Wycombe, England, United Kingdom,62.5,50.0,51.6317449,-0.75596
Glogow, Lower Silesian Voivodeship, Poland,50.0,50.0,51.6636791,16.0935567
Jaipur, Rajasthan, India,43.6746988,63.55263158,26.9154576,75.8189817
Kanpur, Uttar Pradesh, India,16.40625,76.66666667,26.4609135,80.3217588
Indore, Madhya Pradesh, India,45.0,70.56451613,22.7203616,75.8681996
Davos, Grisons, Switzerland,100.0,50.0,46.796198,9.8236892
La Chaux-de-Fonds, Canton of Neuchatel, Switzerland,75.0,0.0,47.1031321,6.8325778
Olten, Canton of Solothurn, Switzerland,80.0,100.0,47.3496571,7.903787
Sion, Canton of Valais, Switzerland,80.0,6.25,43.73903,0.00822
Zug, Canton of Zug, Switzerland,91.66666667,8.333333333,47.1486137,8.5539378
Vevey, Canton of Vaud, Switzerland,100.0,0.0,46.4602978,6.8418655
Nanping, Fujian, People's Republic of China,37.5,50.0,27.3829611,118.0783609
Putian, Fujian, People's Republic of China,35.0,50.0,25.4965882,118.8500963
Sanming, Fujian, People's Republic of China,25.0,50.0,26.3355765,117.442474
Quanzhou, Fujian, People's Republic of China,25.0,75.0,25.1901863,118.338717
Xiamen, Fujian, People's Republic of China,61.11111111,48.21428571,24.5438732,118.0768065
Zhangzhou, Fujian, People's Republic of China,0.0,50.0,24.2388257,117.4524304
Longyan, Fujian, People's Republic of China,25.0,50.0,25.0767425,117.0123483
Ningde, Fujian, People's Republic of China,25.0,50.0,27.0143281,119.4385501
Solothurn, Canton of Solothurn, Switzerland,100.0,50.0,47.31874,7.6698284
Chur, Grisons, Switzerland,100.0,0.0,46.854747,9.5264904
Xining, Qinghai, People's Republic of China,5.0,75.0,36.617331,101.7761976
Cham, Canton of Zug, Switzerland,100.0,0.0,49.2178194,12.6663832
Neuchatel, Canton of Neuchatel, Switzerland,92.85714286,0.0,46.9895828,6.9292641
Montreux, Canton of Vaud, Switzerland,62.5,50.0,46.4310831,6.9129921
Langenthal, Canton of Bern, Switzerland,100.0,0.0,49.8309059,7.5737063
Shiyan, Hubei, People's Republic of China,0.0,50.0,32.45269,110.560812
Jingzhou, Hubei, People's Republic of China,0.0,50.0,30.3375612,112.2337264
Yichang, Hubei, People's Republic of China,0.0,50.0,30.694088,111.2803074
Xiangyang, Hubei, People's Republic of China,15.0,50.0,32.010998,112.1163785
Huanggang, Hubei, People's Republic of China,0.0,100.0,30.4560187,114.8673226
Portsmouth, England, United Kingdom,60.0,40.0,50.800031,-1.0906023
Kurchatov, Kursk Oblast, Russia,75.0,75.0,51.659466,35.658863
Taiyuan, Shanxi, People's Republic of China,0.0,100.0,37.870009,112.5452739
Datong, Shanxi, People's Republic of China,12.5,50.0,40.0919817,113.2951122
Yangquan, Shanxi, People's Republic of China,0.0,50.0,38.0935972,113.5265601
Changzhi, Shanxi, People's Republic of China,0.0,50.0,36.1830167,113.0992929
Jincheng, Shanxi, People's Republic of China,0.0,50.0,35.4913132,112.8454497
Jinzhong, Shanxi, People's Republic of China,0.0,50.0,37.6866796,112.7383414
Xinzhou, Shanxi, People's Republic of China,0.0,50.0,38.76502,112.385805
Linfen, Shanxi, People's Republic of China,22.22222222,55.0,36.229963,111.381767
Dalian, Liaoning, People's Republic of China,26.78571429,50.0,38.9181714,121.6282945
Fushun, Liaoning, People's Republic of China,0.0,50.0,41.8011658,124.7459491
Benxi, Liaoning, People's Republic of China,0.0,50.0,41.176944,124.157425
Dandong, Liaoning, People's Republic of China,16.66666667,37.5,40.128668,124.3863404
Yingkou, Liaoning, People's Republic of China,0.0,50.0,40.6747155,122.2357736
Panjin, Liaoning, People's Republic of China,0.0,50.0,41.1169056,122.0655098
Tieling, Liaoning, People's Republic of China,0.0,50.0,42.6345121,124.2858328
Huludao, Liaoning, People's Republic of China,0.0,50.0,40.7515443,120.8404789
San Pedro, , Philippines,25.0,0.0,42.3701611,-8.1248862
Calamba, , Philippines,58.33333333,77.77777778,14.2060217,121.1556496
Santa Rosa, , Philippines,50.0,62.5,38.4404925,-122.7141049
Dzerzhinsk, Nizhny Novgorod Oblast, Russia,100.0,50.0,56.2382157,43.4617405
Marion, Arkansas, United States of America,0.0,75.0,32.7931661,-94.344488
Kluczbork, Opole Voivodeship, Poland,50.0,50.0,50.9730701,18.2140089
Cabot, Arkansas, United States of America,75.0,25.0,34.974532,-92.0165336
Russellville, Arkansas, United States of America,93.75,50.0,35.2784173,-93.1337856
Bullhead City, Arizona, United States of America,100.0,50.0,35.1477774,-114.568298
Texarkana, Arkansas, United States of America,87.5,50.0,33.44667445,-94.07714830522016
Rogers, Arkansas, United States of America,87.5,12.5,36.3781607,-95.6190889
Dothan, Alabama, United States of America,100.0,62.5,31.2237285,-85.3934375
Fort Smith, Arkansas, United States of America,95.0,25.0,35.3880338,-94.4265011
Tuscaloosa, Alabama, United States of America,86.11111111,40.0,33.2095614,-87.5675258
Fairbanks, Alaska, United States of America,68.18181818,10.0,64.82897449999999,-147.66991691593407
Van Buren, Arkansas, United States of America,100.0,50.0,40.749202,-91.9689529
Kingman, Arizona, United States of America,100.0,75.0,37.5420937,-98.122172
Florence, Alabama, United States of America,100.0,50.0,43.7698712,11.2555757
Mulhouse, , France,87.5,25.0,47.7467233,7.3389937
Yuma, Arizona, United States of America,77.77777778,45.0,32.665135,-114.47603157249804
Flagstaff, Arizona, United States of America,100.0,18.75,35.1987522,-111.651822
Southampton, England, United Kingdom,67.30769231,46.875,50.9025349,-1.404189
Palmer, Alaska, United States of America,95.0,0.0,61.5995703,-149.11109
Konya, Konya Province, Turkey,18.18181818,45.0,38.0211951,32.5224943
Huntsville, Alabama, United States of America,95.0,25.0,34.729847,-86.5859011
Mobile, Alabama, United States of America,75.0,57.14285714,30.6913462,-88.0437509
Maricopa, Arizona, United States of America,100.0,50.0,33.34883,-112.49123
Murfreesboro, Arkansas, United States of America,87.5,37.5,35.8460396,-86.3921096
Debrecen, Hajdu-Bihar County, Hungary,56.57894737,20.83333333,47.531399,21.6259782
Sierra Vista, Arizona, United States of America,75.0,30.0,31.5545973,-110.2997756
Seward, Alaska, United States of America,100.0,0.0,37.1850331,-100.8928434
Hot Springs, Arkansas, United States of America,100.0,0.0,34.5038393,-93.0552437
Prescott, Arizona, United States of America,96.42857143,25.0,34.539984,-112.468812
Wasilla, Alaska, United States of America,96.42857143,33.33333333,61.5824216,-149.442563
Varanasi, Uttar Pradesh, India,19.33962264,70.91836735,25.3356491,83.0076292
Kodiak, Alaska, United States of America,100.0,25.0,57.7916467,-152.41058452251687
Christchurch, Canterbury Region, New Zealand,80.11363636,33.75,-43.530955,172.6364343
Daugavpils, , Latvia,50.0,37.5,55.8712267,26.5159337
Tabriz, East Azerbaijan Province, Iran,30.26315789,47.72727273,38.0738612,46.2978789
Patna, Bihar, India,14.49275362,68.25396825,25.6093239,85.1235252
Shreveport, Louisiana, United States of America,78.125,91.66666667,32.5135356,-93.7477839
Antakya, Hatay Province, Turkey,87.5,50.0,36.2036546,36.1637648
Bhopal, Madhya Pradesh, India,48.92857143,67.30769231,23.2584857,77.401989
Monterrey, Nuevo Leon, Mexico,23.79310345,50.0,25.6802019,-100.315258
Charleroi, Wallonia, Belgium,50.0,60.0,50.4116233,4.444528
Olomouc, , Czech Republic,66.66666667,20.0,49.5940567,17.251143
Acapulco, Guerrero, Mexico,36.36363636,77.27272727,16.8680495,-99.8940182
Szeged, Csongrad-Csanad County, Hungary,69.44444444,25.0,46.2546312,20.1486016
Giza, Giza Governorate, Egypt,8.333333333,79.16666667,29.9870753,31.2118063
Gresham, Oregon, United States of America,100.0,0.0,45.4997475,-122.4309766
Beaverton, Oregon, United States of America,81.25,6.25,45.4871723,-122.80378
Santos, Sao Paulo, Brazil,65.625,18.75,-23.9335988,-46.3286399
Temuco, Araucania Region, Chile,18.75,37.5,-38.7362611,-72.590546
La Rochelle, , France,90.0,0.0,46.1591126,-1.1520434
Olsztyn, Warmian-Masurian Voivodeship, Poland,42.70833333,43.75,53.7767239,20.47778052340973
Van, Van Province, Turkey,0.0,50.0,38.3249599,43.6589825
Leicester, England, United Kingdom,70.3125,27.08333333,52.6362,-1.1331969
Goiania, Goias, Brazil,68.75,39.58333333,-16.680882,-49.2532691
Durres, Durres County, Albania,37.5,62.5,41.313255,19.4462348
Mosul, , Iraq,0.0,75.0,36.34369405,43.099715597302286
Sibiu, Sibiu County, Romania,77.63157895,21.66666667,45.7973912,24.1519202
Diyarbakir, Diyarbakir Province, Turkey,18.75,0.0,37.9162222,40.2363542
Mons, Wallonia, Belgium,80.0,50.0,50.44582085,3.977683401229719
Shimla, , India,63.95348837,62.5,31.1041526,77.1709729
Savannah, Georgia, United States of America,64.0625,52.08333333,32.0790074,-81.0921335
Saue, Harju County, Estonia,100.0,0.0,59.3217905,24.55928508785309
Changchun, Jilin, People's Republic of China,16.66666667,56.81818182,43.8844201,125.3180998
Opole, Opole Voivodeship, Poland,37.5,45.45454545,50.6668184,17.9236408
Liaoyuan, Jilin, People's Republic of China,12.5,50.0,42.8863846,125.1374905
Baishan, Jilin, People's Republic of China,0.0,50.0,41.9369269,126.4184919
Baicheng, Jilin, People's Republic of China,0.0,50.0,45.4086001,123.1327161
London, Ontario, Canada,69.82758621,51.0,51.5074456,-0.1277653
Sopot, Pomeranian Voivodeship, Poland,45.45454545,53.57142857,54.4447922,18.5684902
Rawalpindi, Punjab, Pakistan,33.33333333,79.34782609,33.5914237,73.0535122
Chrzanow, Lesser Poland Voivodeship, Poland,37.5,50.0,50.1411926,19.4028502
Gaziantep, Gaziantep Province, Turkey,25.0,37.5,36.9666307,37.4074178
Sugar Land, Texas, United States of America,87.5,37.5,29.6196787,-95.6349463
Mostar, Federation of Bosnia and Herzegovina, Bosnia and Herzegovina,93.18181818,35.0,43.3435855,17.8076584
Oradea, , Romania,65.47619048,26.66666667,47.0549163,21.9285231
Novokuznetsk, Kemerovo Oblast, Russia,0.0,45.0,53.7575903,87.1358494
Greeley, Colorado, United States of America,95.0,0.0,38.4570355,-101.8185007
Waukesha, Wisconsin, United States of America,87.5,50.0,43.0622536,-88.3123889
Appleton, Wisconsin, United States of America,89.28571429,25.0,44.2613967,-88.4069744
Magnitogorsk, Chelyabinsk Oblast, Russia,0.0,72.72727273,53.4242184,58.983136
Nizhny Tagil, Sverdlovsk Oblast, Russia,0.0,100.0,57.905149,59.9508466
Volzhsky, , Russia,0.0,75.0,48.7862021,44.7519454
Ourense, Galicia, Spain,100.0,33.33333333,42.1968459,-7.6114105
Ibb, Ibb Governorate, Yemen,100.0,75.0,14.1419291,44.1389849
Cluj-Napoca, Cluj County, Romania,57.11206897,33.40909091,46.769379,23.5899542
Newport, Wales, United Kingdom,82.14285714,58.33333333,41.4899827,-71.3137707
Narva, Ida-Viru County, Estonia,75.0,66.66666667,59.3766729,28.1921457
Kielce, Swietokrzyskie Voivodeship, Poland,50.0,50.0,50.8719903,20.6310488
Bytom, Silesian Voivodeship, Poland,35.0,75.0,50.3657432,18.87153251609449
Parnu, Parnu County, Estonia,75.0,25.0,58.3835136,24.5081751
Miskolc, Borsod-Abauj-Zemplen County, Hungary,44.44444444,15.0,48.1030643,20.7900429
Corinth, Peloponnese Region, Greece,87.5,50.0,34.9343599,-88.5223353
Czestochowa, Silesian Voivodeship, Poland,45.83333333,12.5,50.8120466,19.113213
Rovaniemi, , Finland,100.0,15.0,66.5025657,25.73122
Zabrze, Silesian Voivodeship, Poland,15.625,37.5,50.31428055,18.781576310579183
Ventspils, , Latvia,92.85714286,8.333333333,57.3903918,21.5635991
Lucena, , Philippines,54.16666667,69.23076923,37.4091334,-4.4860128
Chorzow, Silesian Voivodeship, Poland,25.0,50.0,50.2978791,18.9544466
Zgierz, Lodz Voivodeship, Poland,75.0,50.0,51.8559434,19.4056443
Bakal, Chelyabinsk Oblast, Russia,75.0,100.0,23.751889400000003,79.96332149357693
Balashikha, Moscow Oblast, Russia,25.0,58.33333333,55.7997662,37.9373707
Elblag, Warmian-Masurian Voivodeship, Poland,54.16666667,50.0,54.1558708,19.4044583
Zielona Gora, Lubusz Voivodeship, Poland,75.0,12.5,51.92766315,15.549005417916431
Plock, Masovian Voivodeship, Poland,33.33333333,45.0,52.5353471,19.713630138580008
Gorzow Wielkopolski, Lubusz Voivodeship, Poland,55.0,75.0,52.7309926,15.2400451
Radom, Masovian Voivodeship, Poland,40.0,50.0,51.41716055,21.160944780832743
Slupsk, Pomeranian Voivodeship, Poland,87.5,50.0,54.46357705,17.02094802171876
Sosnowiec, Silesian Voivodeship, Poland,17.85714286,25.0,50.2780834,19.1342944
Gliwice, Silesian Voivodeship, Poland,19.11764706,59.61538462,50.30113145,18.662347227971978
Legnica, Lower Silesian Voivodeship, Poland,50.0,50.0,51.2081617,16.1603187
Tarnow, Lesser Poland Voivodeship, Poland,37.5,50.0,53.7784289,12.017412
Wloclawek, Kuyavian-Pomeranian Voivodeship, Poland,45.0,75.0,52.6655636,19.096129748054388
Binangonan, , Philippines,75.0,50.0,14.465142,121.1921185
Cainta, , Philippines,45.0,60.0,14.5780161,121.1163072
Rybnik, Silesian Voivodeship, Poland,13.88888889,41.66666667,50.0955793,18.5419933
Akranes, , Iceland,100.0,37.5,64.3170806,-22.0833512
Sivas, Sivas Province, Turkey,33.33333333,75.0,39.4191717,37.1012388
Puerto Galera, , Philippines,50.0,50.0,13.5017104,120.9543353
Valmiera, , Latvia,100.0,50.0,57.5389148,25.4261688
Belize City, Belize District, Belize,50.0,77.77777778,17.5000543,-88.2003115
Dabrowa Gornicza, Silesian Voivodeship, Poland,33.33333333,25.0,50.369624,19.289046489684477
Kilkenny, Leinster, Ireland,75.0,75.0,52.5687098,-7.188983092181514
Pelotas, Rio Grande do Sul, Brazil,50.0,50.0,-31.7699736,-52.3410161
Matola, Maputo Province, Mozambique,37.5,50.0,-25.966917,32.466956
Kolobrzeg, West Pomeranian Voivodeship, Poland,100.0,0.0,54.1759614,15.5764209
Caxias do Sul, Rio Grande do Sul, Brazil,85.0,37.5,-29.1685045,-51.1796385
Mwanza, Mwanza Region, Tanzania,60.0,55.0,-2.5196915,32.9014417
Walbrzych, Lower Silesian Voivodeship, Poland,36.11111111,60.0,50.785221,16.284640336127822
